event_date;event;source
01/01/2020;On 1 January 2020, Israeli forces opened fire at a Palestinian attempting to carry out a stabbing attack, armed with a knife on route 60, near Gush Etzion. The Palestinian was detained and hospitalized. There were no reports of injuries to security forces.;"Al Ghad (Jordan); Xinhua"
02/01/2020;On 2 January 2020, Israeli police forces assaulted Palestinian Muslim worshippers during their storming of Bab Al Rahmah in Al Aqsa mosque in Al Quds - Old City (Al Quds) and removed them from the mosque after spraying pepper spray at the Palestinians. There were no fatalities.;PLO Negotiations Affairs Department
06/01/2020;On 6 January 2020, Israeli forces opened fire at unidentified armed Palestinians near Tulkarm (Tulkarm, West Bank) as they were travelling inside Israeli borders. No casualties occurred.;Quds News Network
12/01/2020;On 12 January 2020, two men were seriously wounded in a shooting in Nahariyya in northern Israel, by an unidentified armed people. Circumstances of shooting are unknown.;Arutz Sheva
14/01/2020;On 14 January 2020, an Israeli settler ran over and injured a Palestinian student in Kisan village (Bethlehem) while she was on her way to school.;"Arab 48; PLO Negotiations Affairs Department"
15/01/2020;On 15 January 2020, Israeli warplanes launched six missiles at positions of unidentified armed Palestinians west of Bayt Lahya town (North Gaza). There were no casualties.;PLO Negotiations Affairs Department
16/01/2020;On 16 January 2020, Israeli forces helicopter struck infrastructure used for underground activities by Hamas in the northern Gaza Strip for a second day reportedly in response to incendiary balloons launched from the strip. No reported injuries or fatalities.;AFP
17/01/2020;On 17 January 2020, a booby-trapped balloon fired by an unidentified Palestinian group from Gaza exploded in Nahal Oz (Ashqelon, HaDarom). There were no casualties.;Quds News Network
18/01/2020;On 18 January 2020, an armed Palestinian man stabbed and moderately wounded an Israeli man near Hebron city (West Bank). The assailant was arrested shortly thereafter.;"AP; Ynet"
19/01/2020;On 19 January 2020, incendiary balloons launched from the Gaza Strip exploded in Sderot, near the Gaza border. No injuries were reported.;Arutz Sheva
21/01/2020;On 21 January 2020, a plane model holding booby-trapped balloons, most likely launched from Gaza, fell west of Dimona (Beer Sheva, HaDarom). Bomb defusal units arrived to defuse the explosives. There were no casualties.;Quds News Network
24/01/2020;On 24 January 2020, an unidentified Palestinian group opened fire at an Israeli military vehicle that raided Al Zahra neighborhood in Jenin (Jenin, West Bank). There were no casualties.;Quds News Network
25/01/2020;Late on 25 January 2020, Israeli aircrafts targeted several Hamas facilities in the Gaza Strip, in retaliation to incendiary balloons launched from Gaza. A weapons facility was targeted. Explosions were heard near Khan Yunis.;Times of Israel
26/01/2020;On 26 January 2020, a rocket was fired from Gaza into Israel and landed in an open field in southern Israel. An exact location as to where the rocket fell was not reported.;"Arutz Sheva; Jerusalem Post"
28/01/2020;On 28 January 2020, Israeli forces opened fire at positions of unidentified armed Palestinians east of Al Burayj camp (Deir El Balah). There were no casualties.;PLO Negotiations Affairs Department
29/01/2020;On 29 January 2020, Israeli forces opened fire at positions of unidentified armed Palestinians east of Khan Yunis city (Khan Yunis). There were no casualties.;PLO Negotiations Affairs Department
30/01/2020;On 30 January 2020, three rockets were launched into southern Israel from the Gaza Strip. Sirens were heard near the Sapir College in Sderot (Ashqelon, Hadarom) and in Nir Am in Shaar Hanegev Regional Council. One rocket landed in an open area near Sderot, while the other two were intercepted. No damage or injuries were reported.;Srugim
31/01/2020;On 31 January 2020, Israeli aircrafts targeted several Hamas positions in the Gaza Strip, in retaliation the rockets fired at Israel a day before. Explosions were heard near Khan Yunis and Rafah. An underground weapons production site was hit. One site targeted was in Al Burayj;"Arutz Sheva; BBC News; MidEast Mirror"
01/02/2020;On 1 February 2020, Israeli aircrafts bombed a Hamas position (a land) northeast of Gaza City. No injuries were reported.;Al Ghad (Jordan)
02/02/2020;As reported on February 2, a rocket was launched from Gaza into Israel and exploded in an open field in Nahal Oz. No injuries were reported.;MENAFN
03/02/2020;On 3 February 2020, at least nine incendiary balloons were launched from Gaza into southern Israel. Three balloons landed in the Eshkol Regional Council, and one exploded without causing any damage.;Times of Israel
04/02/2020;On 4 February 2020, three rockets were fired from Gaza into southern Israel and exploded in open fields. Sirens sounded in Netivot and no injuries were reported.;Arutz Sheva
